year,make,model,trim,model_code,source
2024,Acura,Integra,,DE4H2RJW,user
2024,Acura,ZDX,Type S,3B2H6REW,user
2024,FIAT,500e,INSPI(RED),FGEP24/21A,user
2024,Ford,F-150 Lightning,Flash,W3L/312A,user
2024,Ford,F-150 Lightning,LARIAT,W5L/511A,user
2024,Ford,F-150 Lightning,Platinum,W7L/710A,user
2024,Ford,F-150 Lightning,Pro,W1B/110A,user
2024,Ford,F-150 Lightning,XLT,W3L/311A,user
2024,Ford,Maverick,LARIAT,W8M/500A,user
2024,Ford,Maverick,LARIAT,W8S/500A,user
2024,Ford,Maverick,LARIAT Advanced,W8R/500A,user
2024,Ford,Maverick,XL,W8A/100A,user
2024,Ford,Maverick,XL,W8B/100A,user
2024,Ford,Maverick,XLT,W8H/300A,user
2024,Ford,Maverick,XLT,W8J/300A,user
2024,Ford,Maverick,XLT Advanced,W8C/300A,user
2024,Jaguar,F-TYPE,75,HL152/351RM,user
2024,Jaguar,F-TYPE,75,HM152/351RM,user
2024,Jaguar,F-TYPE,R-Dynamic,HN152/351RH,user
2024,Jaguar,F-TYPE,R-Dynamic,HP152/351RH,user
2024,Jaguar,F-TYPE,R75,HL152/351RJ,user
2024,Jaguar,F-TYPE,R75,HM152/351RJ,user
2024,Jaguar,XF,R-Dynamic SE,HC260/260KV,user
2024,Jaguar,XF,R-Dynamic SE,JM260/260MD,user
2025,Acura,ADX,,SA1H3SJNW,user
2025,Acura,ADX,,SA2H3SJNW,user
2025,Acura,ADX,w/A-Spec Advance Package,SA1H7SJNW,user
2025,Acura,ADX,w/A-Spec Advance Package,SA2H7SJNW,user
2025,Acura,ADX,w/A-Spec Package,SA1H5SJNW,user
2025,Acura,ADX,w/A-Spec Package,SA2H5SJNW,user
2025,Acura,Integra,,DE4H2SJW,user
2025,Acura,Integra,Type S,DE5G9SEW,user
2025,Acura,MDX,,YD9H3SJNW,user
2025,Acura,MDX,,YE1H3SJNW,user
2025,Acura,MDX,Type S w/Advance Package,YD8H8SKNW,user
2025,Acura,RDX,,TC2H4SJNW,user
2025,Acura,TLX,Type S,UB7F0SGW,user
2025,Acura,TLX,w/Technology Package,UB5F4SGNW,user
2025,Alfa Romeo,Giulia,,GAFL41/22L,user
2025,Alfa Romeo,Giulia,,GAGL41/22M,user
2025,Alfa Romeo,Giulia,Intensa,GAFM41/22F,user
2025,Alfa Romeo,Giulia,Intensa,GAGM41/22F,user
2025,Alfa Romeo,Giulia,Special Edition,GAFT41/22Y,user
2025,Alfa Romeo,Giulia,Special Edition,GAGT41/22Y,user
2025,Alfa Romeo,Stelvio,,GUGL74/22M,user
2025,Alfa Romeo,Stelvio,Intensa,GUGM74/22F,user
2025,Alfa Romeo,Stelvio,Special Edition,GUGT74/22Y,user
2025,Alfa Romeo,Tonale,,GC9L74/28B,user
2025,Alfa Romeo,Tonale,,GCGL74/23M,user
2025,Alfa Romeo,Tonale,Intensa,GCGL74/23M,user
2025,Alfa Romeo,Tonale,Special Edition Intensa,GC9S74/28Y,user
2025,Alfa Romeo,Tonale,Special Edition Tributo Italiano,GC9S74/28Y,user
2025,Audi,A5,Premium,F5FBZY,user
2025,Audi,A5,Premium Plus,F5FBZY,user
2025,Audi,A5,Prestige,F5FBZY,user
2025,Audi,A5,S line Premium,F5FCAY,user
2025,Audi,A5,S line Premium,F5PCAY,user
2025,Audi,A5,S line Premium Plus,F5FCAY,user
2025,Audi,A5,S line Premium Plus,F5PCAY,user
2025,Audi,A5,S line Prestige,F5FCAY,user
2025,Audi,A5,S line Prestige,F5PCAY,user
2025,Audi,A6,Premium,4A2B3Y,user
2025,Audi,A6,Premium,4A2C2Y,user
2025,Audi,A6,Premium Plus,4A2B3Y,user
2025,Audi,A6,Premium Plus,4A2C2Y,user
2025,Audi,A6,Prestige,4A2C2Y,user
2025,Audi,A7,Premium,4KA02Y,user
2025,Audi,A7,Premium Plus,4KA02Y,user
2025,Audi,A7,Prestige,4KA02Y,user
2025,Audi,A8,,4NL5DA,user
2025,Audi,Q3,S line Premium,F3BCEA,user
2025,Audi,Q3,S line Premium Plus,F3BCEA,user
2025,Audi,Q5,Premium,FYGBZY,user
2025,Audi,Q5,Premium Plus,FYGBZY,user
2025,Audi,Q5,Prestige,FYGBZY,user
2025,Audi,Q5,S line Premium,FYGCAY,user
2025,Audi,Q5,S line Premium,FYTCAY,user
2025,Audi,Q5,S line Premium Plus,FYGCAY,user
2025,Audi,Q5,S line Premium Plus,FYTCAY,user
2025,Audi,Q5,S line Prestige,FYGCAY,user
2025,Audi,Q5,S line Prestige,FYTCAY,user
2025,Audi,Q7,Premium,4MQAC1,user
2025,Audi,Q7,Premium,4MQAX2,user
2025,Audi,Q7,Premium Plus,4MQAC1,user
2025,Audi,Q7,Premium Plus,4MQAX2,user
2025,Audi,Q7,Prestige,4MQAX2,user
2025,Audi,Q8,Premium,4MT5X2,user
2025,Audi,Q8,Premium Plus,4MT5X2,user
2025,Audi,Q8,Prestige,4MT5X2,user
2025,Audi,S6,Premium,4A2SFA,user
2025,Audi,S6,Premium Plus,4A2SFA,user
2025,Audi,S6,Prestige,4A2SFA,user
2025,Audi,S7,Premium,4KASFA,user
2025,Audi,S7,Premium Plus,4KASFA,user
2025,Audi,S7,Prestige,4KASFA,user
2025,Audi,S8,,4NL5SA,user
2025,Audi,SQ5,Premium,FYGS4A,user
2025,Audi,SQ5,Premium,FYTS4A,user
2025,Audi,SQ5,Premium Plus,FYGS4A,user
2025,Audi,SQ5,Premium Plus,FYTS4A,user
2025,Audi,SQ5,Prestige,FYGS4A,user
2025,Audi,SQ5,Prestige,FYTS4A,user
2025,Audi,SQ7,Premium Plus,4MQSW1,user
2025,Audi,SQ7,Prestige,4MQSW1,user
2025,BMW,760,760i xDrive,257I,user
2025,Dodge,Charger Daytona,R/T,LB7M29/25M,user
2025,Dodge,Charger Daytona,Scat Pack,LB7S29/25S,user
2025,Dodge,Durango,GT,WDDH75/2BD,user
2025,Dodge,Durango,GT,WDEH75/2BD,user
2025,Dodge,Durango,GT Plus,WDEH75/2BD,user
2025,Dodge,Durango,R/T,WDES75/22S,user
2025,Dodge,Durango,R/T 20th Anniversary Plus,WDES75/22S,user
2025,Dodge,Durango,R/T 20th Anniversary Premium,WDES75/22S,user
2025,Dodge,Durango,R/T Plus,WDES75/22S,user
2025,Dodge,Durango,R/T Premium,WDES75/22S,user
2025,Dodge,Durango,SRT Hellcat,WDEM75/2XA,user
2025,Dodge,Durango,SRT Hellcat Brass Monkey,WDEM75/2XA,user
2025,Dodge,Durango,SRT Hellcat Hammerhead,WDEM75/2XA,user
2025,Dodge,Durango,SRT Hellcat Silver Bullet,WDEM75/2XA,user
2025,Dodge,Hornet,GT,GGEH49/23N,user
2025,Dodge,Hornet,GT Plus,GGEH49/23N,user
2025,Dodge,Hornet,R/T,GG7P49/28E,user
2025,Dodge,Hornet,R/T Plus,GG7P49/28E,user
2025,FIAT,500e,INSPI(RED),FGEP24/21A,user
2025,Ford,Bronco,Badlands,E9A/331A,user
2025,Ford,Bronco,Badlands,E9B/331A,user
2025,Ford,Bronco,Base,E6A/101A,user
2025,Ford,Bronco,Base,E6B/101A,user
2025,Ford,Bronco,Big Bend,E7B/221A,user
2025,Ford,Bronco,Heritage Edition,E4D/662A,user
2025,Ford,Bronco,Outer Banks,E8B/312A,user
2025,Ford,Bronco,Raptor,E0R/374A,user
2025,Ford,Bronco,Stroppe Edition,E0A/564A,user
2025,Ford,Bronco Sport,Badlands,R9D/400A,user
2025,Ford,Bronco Sport,Big Bend,R9B/200A,user
2025,Ford,Bronco Sport,Free Wheeling,R9K/220A,user
2025,Ford,Bronco Sport,Heritage,R9G/250A,user
2025,Ford,Bronco Sport,Outer Banks,R9C/300A,user
2025,Ford,Escape,Active,U0G/200A,user
2025,Ford,Escape,Active,U9G/200A,user
2025,Ford,Escape,PHEV,U0E/700A,user
2025,Ford,Escape,Platinum,U0J/600A,user
